BRAINBYSITE.TXT
Who has access

System properties
Type
Text
Size
577 KB
Storage used
577 KB
Location
Colab Notebooks
Owner
Whisper
Modified
May 27, 2021 by Whisper
Opened
9:01 AM by me
Created
8:57 AM
No description
Viewers can download
AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|40576293|Female|Neoplasm, unspecified|2008|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|62|40670476|Female|Neoplasm, unspecified|2009|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40670476|Female|Neoplasm, unspecified|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|89|40632733|Female|Neoplasm, unspecified|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40632733|Female|Neoplasm, unspecified|2010|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|67|40459557|Female|Neoplasm, unspecified|2011|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|20|40459557|Female|Neoplasm, unspecified|2011|0.0|0.1|0.0
0-19|0.1|0.2|0.2|Benign/Borderline|72|40305208|Female|Neoplasm, unspecified|2012|0.1|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|24|40305208|Female|Neoplasm, unspecified|2012|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|74|40208756|Female|Neoplasm, unspecified|2013|0.1|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|23|40208756|Female|Neoplasm, unspecified|2013|0.0|0.1|0.1
0-19|0.2|0.2|0.2|Benign/Borderline|80|40150534|Female|Neoplasm, unspecified|2014|0.2|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|22|40150534|Female|Neoplasm, unspecified|2014|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|323|198853824|Female|Neoplasm, unspecified|2014-2018|0.1|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|103|198853824|Female|Neoplasm, unspecified|2014-2018|0.0|0.1|0.1
0-19|0.2|0.3|0.2|Benign/Borderline|81|40145405|Female|Neoplasm, unspecified|2015|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40145405|Female|Neoplasm, unspecified|2015|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|53|40164077|Female|Neoplasm, unspecified|2016|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|24|40164077|Female|Neoplasm, unspecified|2016|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|49|40141466|Female|Neoplasm, unspecified|2017|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|21|40141466|Female|Neoplasm, unspecified|2017|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|62|39687165|Female|Neoplasm, unspecified|2018|0.1|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|26|39687165|Female|Neoplasm, unspecified|2018|0.0|0.1|0.1
0-19|0.2|0.3|0.3|Benign/Borderline|115|39865121|Female|Nerve sheath, benign and malignant|2004|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|39865121|Female|Nerve sheath, benign and malignant|2004|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|165|39998876|Female|Nerve sheath, benign and malignant|2005|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|39998876|Female|Nerve sheath, benign and malignant|2005|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|157|40165421|Female|Nerve sheath, benign and malignant|2006|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|40165421|Female|Nerve sheath, benign and malignant|2006|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|130|40382360|Female|Nerve sheath, benign and malignant|2007|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40382360|Female|Nerve sheath, benign and malignant|2007|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|146|40576293|Female|Nerve sheath, benign and malignant|2008|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40576293|Female|Nerve sheath, benign and malignant|2008|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|156|40670476|Female|Nerve sheath, benign and malignant|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40670476|Female|Nerve sheath, benign and malignant|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|134|40632733|Female|Nerve sheath, benign and malignant|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40632733|Female|Nerve sheath, benign and malignant|2010|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|133|40459557|Female|Nerve sheath, benign and malignant|2011|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40459557|Female|Nerve sheath, benign and malignant|2011|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|144|40305208|Female|Nerve sheath, benign and malignant|2012|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40305208|Female|Nerve sheath, benign and malignant|2012|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|152|40208756|Female|Nerve sheath, benign and malignant|2013|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40208756|Female|Nerve sheath, benign and malignant|2013|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|107|40150534|Female|Nerve sheath, benign and malignant|2014|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|40150534|Female|Nerve sheath, benign and malignant|2014|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|583|198853824|Female|Nerve sheath, benign and malignant|2014-2018|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|198853824|Female|Nerve sheath, benign and malignant|2014-2018|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|159|40145405|Female|Nerve sheath, benign and malignant|2015|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|40145405|Female|Nerve sheath, benign and malignant|2015|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|127|40164077|Female|Nerve sheath, benign and malignant|2016|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40164077|Female|Nerve sheath, benign and malignant|2016|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|122|40141466|Female|Nerve sheath, benign and malignant|2017|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|40141466|Female|Nerve sheath, benign and malignant|2017|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|69|39687165|Female|Nerve sheath, benign and malignant|2018|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|39687165|Female|Nerve sheath, benign and malignant|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Malignant|~|40632733|Female|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Malignant|~|40459557|Female|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Malignant|~|40305208|Female|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Malignant|~|40208756|Female|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Malignant|~|40150534|Female|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Neuroepithelial|2014-2018|~|~|~
0-19|0.0|0.0|0.0|Malignant|27|198853824|Female|Neuroepithelial|2014-2018|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Neuroepithelial|2015|~|~|~
0-19|~|~|~|Malignant|~|40145405|Female|Neuroepithelial|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Neuroepithelial|2016|~|~|~
0-19|~|~|~|Malignant|~|40164077|Female|Neuroepithelial|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Neuroepithelial|2017|~|~|~
0-19|~|~|~|Malignant|~|40141466|Female|Neuroepithelial|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Neuroepithelial|2018|~|~|~
0-19|~|~|~|Malignant|~|39687165|Female|Neuroepithelial|2018|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|115|39865121|Female|Neuronal/glial, neuronal|2004|0.2|0.3|0.3
0-19|0.0|0.1|0.1|Malignant|22|39865121|Female|Neuronal/glial, neuronal|2004|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|137|39998876|Female|Neuronal/glial, neuronal|2005|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|26|39998876|Female|Neuronal/glial, neuronal|2005|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|124|40165421|Female|Neuronal/glial, neuronal|2006|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|25|40165421|Female|Neuronal/glial, neuronal|2006|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|138|40382360|Female|Neuronal/glial, neuronal|2007|0.3|0.4|0.3
0-19|0.1|0.1|0.1|Malignant|32|40382360|Female|Neuronal/glial, neuronal|2007|0.1|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|134|40576293|Female|Neuronal/glial, neuronal|2008|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|28|40576293|Female|Neuronal/glial, neuronal|2008|0.0|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|137|40670476|Female|Neuronal/glial, neuronal|2009|0.3|0.4|0.3
0-19|0.0|0.1|0.0|Malignant|17|40670476|Female|Neuronal/glial, neuronal|2009|0.0|0.1|0.0
0-19|0.3|0.4|0.4|Benign/Borderline|144|40632733|Female|Neuronal/glial, neuronal|2010|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|19|40632733|Female|Neuronal/glial, neuronal|2010|0.0|0.1|0.0
0-19|0.3|0.4|0.4|Benign/Borderline|154|40459557|Female|Neuronal/glial, neuronal|2011|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|40459557|Female|Neuronal/glial, neuronal|2011|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|154|40305208|Female|Neuronal/glial, neuronal|2012|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|17|40305208|Female|Neuronal/glial, neuronal|2012|0.0|0.1|0.0
0-19|0.3|0.5|0.4|Benign/Borderline|160|40208756|Female|Neuronal/glial, neuronal|2013|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|23|40208756|Female|Neuronal/glial, neuronal|2013|0.0|0.1|0.1
0-19|0.3|0.5|0.4|Benign/Borderline|160|40150534|Female|Neuronal/glial, neuronal|2014|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|25|40150534|Female|Neuronal/glial, neuronal|2014|0.0|0.1|0.1
0-19|0.4|0.4|0.4|Benign/Borderline|829|198853824|Female|Neuronal/glial, neuronal|2014-2018|0.4|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|119|198853824|Female|Neuronal/glial, neuronal|2014-2018|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|170|40145405|Female|Neuronal/glial, neuronal|2015|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|16|40145405|Female|Neuronal/glial, neuronal|2015|0.0|0.1|0.0
0-19|0.4|0.5|0.5|Benign/Borderline|186|40164077|Female|Neuronal/glial, neuronal|2016|0.4|0.5|0.5
0-19|0.0|0.1|0.1|Malignant|29|40164077|Female|Neuronal/glial, neuronal|2016|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|170|40141466|Female|Neuronal/glial, neuronal|2017|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|22|40141466|Female|Neuronal/glial, neuronal|2017|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|148|39687165|Female|Neuronal/glial, neuronal|2018|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|27|39687165|Female|Neuronal/glial, neuronal|2018|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Oligodendroglioma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|39865121|Female|Oligodendroglioma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|39998876|Female|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|26|40165421|Female|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|40382360|Female|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Oligodendroglioma|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40576293|Female|Oligodendroglioma|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40670476|Female|Oligodendroglioma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40632733|Female|Oligodendroglioma|2010|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Oligodendroglioma|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|40459557|Female|Oligodendroglioma|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Oligodendroglioma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|22|40305208|Female|Oligodendroglioma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Oligodendroglioma|2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|40208756|Female|Oligodendroglioma|2013|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Oligodendroglioma|2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|40150534|Female|Oligodendroglioma|2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Oligodendroglioma|2014-2018|~|~|~
0-19|0.0|0.1|0.0|Malignant|81|198853824|Female|Oligodendroglioma|2014-2018|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Oligodendroglioma|2015|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40145405|Female|Oligodendroglioma|2015|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Oligodendroglioma|2016|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40164077|Female|Oligodendroglioma|2016|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Oligodendroglioma|2017|~|~|~
0-19|~|~|~|Malignant|~|40141466|Female|Oligodendroglioma|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Oligodendroglioma|2018|~|~|~
0-19|~|~|~|Malignant|~|39687165|Female|Oligodendroglioma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Other mesenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|18|39998876|Female|Other mesenchymal|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|39998876|Female|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|40165421|Female|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40165421|Female|Other mesenchymal|2006|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|40382360|Female|Other mesenchymal|2007|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40382360|Female|Other mesenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|40576293|Female|Other mesenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40576293|Female|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40670476|Female|Other mesenchymal|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Other mesenchymal|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|26|40632733|Female|Other mesenchymal|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40632733|Female|Other mesenchymal|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|27|40459557|Female|Other mesenchymal|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40459557|Female|Other mesenchymal|2011|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|51|40305208|Female|Other mesenchymal|2012|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40305208|Female|Other mesenchymal|2012|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|41|40208756|Female|Other mesenchymal|2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40208756|Female|Other mesenchymal|2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|43|40150534|Female|Other mesenchymal|2014|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40150534|Female|Other mesenchymal|2014|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|231|198853824|Female|Other mesenchymal|2014-2018|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|27|198853824|Female|Other mesenchymal|2014-2018|0.0|0.0|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|50|40145405|Female|Other mesenchymal|2015|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40145405|Female|Other mesenchymal|2015|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|51|40164077|Female|Other mesenchymal|2016|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40164077|Female|Other mesenchymal|2016|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|46|40141466|Female|Other mesenchymal|2017|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|40141466|Female|Other mesenchymal|2017|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|41|39687165|Female|Other mesenchymal|2018|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39687165|Female|Other mesenchymal|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Pilocytic astrocytoma|2004|~|~|~
0-19|0.7|0.9|0.8|Malignant|329|39865121|Female|Pilocytic astrocytoma|2004|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Pilocytic astrocytoma|2005|~|~|~
0-19|0.7|0.9|0.8|Malignant|323|39998876|Female|Pilocytic astrocytoma|2005|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Pilocytic astrocytoma|2006|~|~|~
0-19|0.7|0.9|0.8|Malignant|319|40165421|Female|Pilocytic astrocytoma|2006|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Pilocytic astrocytoma|2007|~|~|~
0-19|0.8|0.9|0.8|Malignant|339|40382360|Female|Pilocytic astrocytoma|2007|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Pilocytic astrocytoma|2008|~|~|~
0-19|0.7|0.9|0.8|Malignant|336|40576293|Female|Pilocytic astrocytoma|2008|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Pilocytic astrocytoma|2009|~|~|~
0-19|0.8|1.0|0.9|Malignant|355|40670476|Female|Pilocytic astrocytoma|2009|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Pilocytic astrocytoma|2010|~|~|~
0-19|0.9|1.1|1.0|Malignant|397|40632733|Female|Pilocytic astrocytoma|2010|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Pilocytic astrocytoma|2011|~|~|~
0-19|0.8|1.0|0.9|Malignant|355|40459557|Female|Pilocytic astrocytoma|2011|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Pilocytic astrocytoma|2012|~|~|~
0-19|0.9|1.0|0.9|Malignant|382|40305208|Female|Pilocytic astrocytoma|2012|0.9|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Pilocytic astrocytoma|2013|~|~|~
0-19|0.8|1.0|0.9|Malignant|365|40208756|Female|Pilocytic astrocytoma|2013|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Pilocytic astrocytoma|2014|~|~|~
0-19|0.9|1.1|1.0|Malignant|407|40150534|Female|Pilocytic astrocytoma|2014|0.9|1.1|1.0
0-19|0.0|0.0|0.0|Benign/Borderline|72|198853824|Female|Pilocytic astrocytoma|2014-2018|0.0|0.0|0.0
0-19|0.9|1.0|0.9|Malignant|1804|198853824|Female|Pilocytic astrocytoma|2014-2018|0.9|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Pilocytic astrocytoma|2015|~|~|~
0-19|0.8|1.0|0.9|Malignant|358|40145405|Female|Pilocytic astrocytoma|2015|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Pilocytic astrocytoma|2016|~|~|~
0-19|0.7|0.9|0.8|Malignant|325|40164077|Female|Pilocytic astrocytoma|2016|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Pilocytic astrocytoma|2017|~|~|~
0-19|0.9|1.1|1.0|Malignant|399|40141466|Female|Pilocytic astrocytoma|2017|0.9|1.1|1.0
0-19|0.1|0.2|0.2|Benign/Borderline|72|39687165|Female|Pilocytic astrocytoma|2018|0.1|0.2|0.2
0-19|0.7|0.9|0.8|Malignant|329|39687165|Female|Pilocytic astrocytoma|2018|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Pineal parenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Pineal parenchymal|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Pineal parenchymal|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Pineal parenchymal|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Pineal parenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|40576293|Female|Pineal parenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Malignant|~|40632733|Female|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Pineal parenchymal|2011|~|~|~
0-19|~|~|~|Malignant|~|40459557|Female|Pineal parenchymal|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Pineal parenchymal|2012|~|~|~
0-19|~|~|~|Malignant|~|40305208|Female|Pineal parenchymal|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Pineal parenchymal|2013|~|~|~
0-19|~|~|~|Malignant|~|40208756|Female|Pineal parenchymal|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Pineal parenchymal|2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|40150534|Female|Pineal parenchymal|2014|0.0|0.1|0.0
0-19|0.0|0.0|0.0|Benign/Borderline|20|198853824|Female|Pineal parenchymal|2014-2018|0.0|0.0|0.0
0-19|0.0|0.1|0.0|Malignant|86|198853824|Female|Pineal parenchymal|2014-2018|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Pineal parenchymal|2015|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40145405|Female|Pineal parenchymal|2015|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Pineal parenchymal|2016|~|~|~
0-19|~|~|~|Malignant|~|40164077|Female|Pineal parenchymal|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Pineal parenchymal|2017|~|~|~
0-19|~|~|~|Malignant|~|40141466|Female|Pineal parenchymal|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Pineal parenchymal|2018|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|39687165|Female|Pineal parenchymal|2018|0.0|0.1|0.0
0-19|0.6|0.8|0.7|Benign/Borderline|277|39865121|Female|Pituitary|2004|0.6|0.8|0.7
0-19|~|~|~|Malignant|~|39865121|Female|Pituitary|2004|~|~|~
0-19|0.7|0.9|0.8|Benign/Borderline|318|39998876|Female|Pituitary|2005|0.7|0.9|0.8
0-19|~|~|~|Malignant|~|39998876|Female|Pituitary|2005|~|~|~
0-19|0.8|1.0|0.9|Benign/Borderline|363|40165421|Female|Pituitary|2006|0.8|1.0|0.9
0-19|~|~|~|Malignant|~|40165421|Female|Pituitary|2006|~|~|~
0-19|0.7|0.9|0.8|Benign/Borderline|347|40382360|Female|Pituitary|2007|0.8|1.0|0.9
0-19|~|~|~|Malignant|~|40382360|Female|Pituitary|2007|~|~|~
0-19|0.9|1.1|1.0|Benign/Borderline|404|40576293|Female|Pituitary|2008|0.9|1.1|1.0
0-19|~|~|~|Malignant|~|40576293|Female|Pituitary|2008|~|~|~
0-19|0.9|1.1|1.0|Benign/Borderline|404|40670476|Female|Pituitary|2009|0.9|1.1|1.0
0-19|~|~|~|Malignant|~|40670476|Female|Pituitary|2009|~|~|~
0-19|1.0|1.2|1.1|Benign/Borderline|466|40632733|Female|Pituitary|2010|1.0|1.3|1.1
0-19|~|~|~|Malignant|~|40632733|Female|Pituitary|2010|~|~|~
0-19|1.0|1.2|1.1|Benign/Borderline|471|40459557|Female|Pituitary|2011|1.1|1.3|1.2
0-19|~|~|~|Malignant|~|40459557|Female|Pituitary|2011|~|~|~
